% time spent exploring,episodes,mean 100 episode reward 1,mean 100 episode reward 2,steps
90,10,7.2,-7.2,9464
78,20,3.2,-3.2,21907
66,30,1.2,-1.2,33848
53,40,-0.4,0.4,46590
43,50,1.6,-1.6,57299
31,60,1.0,-1.0,69063
21,70,0.4,-0.4,79099
11,80,-0.1,0.1,89335
1,90,-0.8,0.8,99742
1,100,-1.0,1.0,111302
1,110,-3.2,3.2,121946
1,120,-2.4,2.4,134055
1,130,-0.9,0.9,144278
1,140,0.6,-0.6,157295
1,150,0.6,-0.6,168604
1,160,2.3,-2.3,180155
1,170,3.9,-3.9,193290
1,180,5.7,-5.7,207159
1,190,7.6,-7.6,221959
1,200,9.1,-9.1,235892
1,210,11.4,-11.4,254156
1,220,10.7,-10.7,274266
1,230,9.6,-9.6,293920
1,240,9.1,-9.1,314879
1,250,8.0,-8.0,339244
1,260,6.8,-6.8,365029
1,270,5.6,-5.6,387914
1,280,4.3,-4.3,410866
1,290,2.6,-2.6,433829
1,300,1.3,-1.3,457827
1,310,0.3,-0.3,482564
1,320,0.3,-0.3,507596
1,330,-0.4,0.4,532131
1,340,-0.9,0.9,557210
1,350,-0.7,0.7,582733
1,360,-1.0,1.0,606428
1,370,-1.1,1.1,630633
1,380,-1.3,1.3,654259
1,390,-1.1,1.1,679296
1,400,-1.5,1.5,701939
1,410,-1.6,1.6,727007
1,420,-2.0,2.0,750971
1,430,-1.8,1.8,773583
1,440,-1.6,1.6,798138
1,450,-1.9,1.9,823651
1,460,-2.2,2.2,848263
1,470,-2.6,2.6,874436
1,480,-3.4,3.4,895751
1,490,-3.7,3.7,920450
1,500,-4.0,4.0,942031
1,510,-4.4,4.4,966137
1,520,-4.5,4.5,990632
